company,pros_average,cons_average,sum_pros_and_cons
Accenture Ltd,0.5987066666666667,-0.05180333333333333,0.5469033333333334
Adobe Systems Incorporated,0.709581,0.040935000000000006,0.7505160000000001
"Affirm, Inc.",0.746924,0.085377,0.8323010000000001
"AirBnb, Inc.",0.694779,-0.030348000000000007,0.664431
"Akamai Technologies, Inc.",0.6914100000000001,-0.005291000000000001,0.686119
"Amazon.com, Inc.",0.616738,-0.077399,0.539339
American Express Company,0.6290288888888889,0.017208888888888888,0.6462377777777778
AppFolio,0.744409,0.137417,0.881826
Apple Inc.,0.6374811111111112,-0.016891111111111117,0.6205900000000001
"Argo Group International Holdings, Ltd.",0.608614,0.043113,0.651727
Arizona State University,0.576730303030303,-0.028307070707070708,0.5484232323232323
"Ascendum Solutions, LLC.",0.5665655555555555,-0.057002222222222225,0.5095633333333334
Atlassian,0.7638330000000001,0.10418200000000001,0.8680150000000001
"Autodesk, Inc.",0.71109,0.03658444444444444,0.7476744444444444
Bayer Corporation,0.620634,-0.014336999999999996,0.606297
"Beijing Bytedance Technology Co., Ltd",0.639588,-0.12905,0.510538
Booz Allen Hamilton Inc.,0.60476,-0.005217000000000002,0.5995429999999999
Box Inc. ,0.688145,0.08334,0.771485
Brown University,0.623947,-0.077684,0.546263
Brown-Forman Corporation,0.6478579999999999,0.054992,0.70285
Capital One Financial Corporation,0.6973922222222222,0.05093333333333333,0.7483255555555555
Carnegie Mellon University,0.574989,-0.055149,0.51984
"Cisco Systems, Inc.",0.621601,0.017264,0.638865
Cloud BigData Technologies Group,0.5787019999999999,0.071898,0.6506
Comcast Corporation,0.684756,-0.036405,0.648351
"Concur Technologies, Inc. ",0.771572,0.17682099999999998,0.948393
Consumers Energy Company,0.648225,0.021022000000000002,0.669247
DTE Energy,0.636909,0.012070999999999997,0.6489799999999999
Dell Technologies Inc.,0.6473677777777778,0.041055555555555553,0.6884233333333333
Deloitte ,0.6334642857142857,-0.04542714285714285,0.5880371428571428
"Delta Air Lines, Inc.",0.7140869999999999,-0.023867,0.69022
"Doma Holdings, Inc.",0.743525641025641,0.08754358974358975,0.8310692307692308
DoorDash,0.45692,-0.045475714285714286,0.4114442857142857
Duke University,0.622059,-0.015466,0.606593
"Equinix, Inc.",0.670341,-0.010223000000000003,0.660118
"Etsy, Inc.",0.7360949999999999,0.033046,0.769141
