,diversity,environment,culture,worklife,pay,growth,leadership,personaldevelopment
University of Virginia,0.7887111111111111,0.845047619047619,0.5546863139093547,1.2308070617906683,1.4243414812112367,0.47221926556679084,0.39157105030891437,0.3934811529933481
National Institutes of Health,0.0,0.5633650793650794,0.5546863139093547,0.33567465321563683,0.9711419190076614,0.6611069717935072,0.39157105030891437,0.6885920177383592
"The MathWorks, Inc.",0.0,1.690095238095238,1.148993078812235,0.44756620428751576,1.942283838015323,1.3222139435870144,0.626513680494263,1.1804434589800443
"Udemy, Inc.",1.5774222222222223,1.4084126984126983,1.5055771377539628,0.33567465321563683,0.4531995622035753,3.0222032996274613,1.0963989408649604,1.0820731707317073
"Slack Technologies, Inc.",0.7887111111111111,0.9858888888888889,1.5451975887474882,0.44756620428751576,0.1942283838015323,1.3222139435870144,1.1747131509267432,1.5739246119733925
Rivian Automotive LLC.,0.7887111111111111,1.9717777777777779,1.1093726278187095,2.4616141235813367,0.5826851514045969,1.3222139435870144,1.0180847308031773,1.1804434589800443
Michigan State University,0.7887111111111111,0.4225238095238095,0.5150658629158295,0.7832408575031525,1.100627508208683,0.18888770622671633,0.3132568402471315,0.2951108647450111
Zoom Video Communications Inc,0.7887111111111111,1.5492539682539683,1.3074748827863363,1.902156368221942,0.7769135352061292,3.305534858967536,1.4879699911738746,1.5739246119733925
Brown University,0.7887111111111111,1.1267301587301588,0.35658405894172807,1.3426986128625473,1.6185698650127691,0.8499946780202235,0.39157105030891437,0.7869623059866963
Two Sigma,2.3661333333333334,1.690095238095238,1.5055771377539628,0.6713493064312737,0.4531995622035753,2.4555401809473123,1.253027360988526,1.6722949002217296
The University of Michigan,0.7887111111111111,0.2816825396825397,0.3169636079482027,1.0070239596469104,0.9063991244071506,0.09444385311335816,0.23494263018534864,0.3934811529933481
Paylocity Corporation,4.732266666666667,0.845047619047619,1.5055771377539628,2.1259394703657,1.359598686610726,1.6055455029270889,1.879541041482789,2.3608869179600886
Yale University,0.7887111111111111,0.845047619047619,0.4754454119223041,1.2308070617906683,0.9711419190076614,0.28333155934007453,0.15662842012356576,0.4918514412416851
"Noblis, Inc.",0.0,0.9858888888888889,1.3470953337798617,0.22378310214375788,0.6474279460051077,0.8499946780202235,1.5662842012356575,1.4755543237250555
Purdue University,2.3661333333333334,0.7042063492063492,0.35658405894172807,1.2308070617906683,1.359598686610726,0.47221926556679084,0.39157105030891437,0.2951108647450111
Southwest Airlines Co.,0.7887111111111111,0.5633650793650794,0.9112703728510828,1.566481715006305,1.2301130974097045,0.6611069717935072,1.331341571050309,0.5902217294900222
"athenahealth, Inc.",1.5774222222222223,1.690095238095238,1.148993078812235,0.7832408575031525,1.0358847136081721,1.1333262373602981,1.1747131509267432,0.3934811529933481
Zynga,1.5774222222222223,1.1267301587301588,1.624438490734539,0.6713493064312737,0.32371397300255383,0.47221926556679084,1.8012268314210063,1.0820731707317073
The Leland Stanford Junior University,0.0,1.1267301587301588,0.6735476668899308,1.0070239596469104,1.0358847136081721,0.47221926556679084,0.23494263018534864,0.7869623059866963
Consumers Energy Company,2.3661333333333334,0.4225238095238095,0.9905112748381335,1.3426986128625473,0.5826851514045969,0.7555508249068653,1.5662842012356575,0.5902217294900222
"Etsy, Inc.",0.0,1.690095238095238,1.9017816476892164,1.3426986128625473,1.0358847136081721,1.2277700904736562,2.1927978817299207,1.3771840354767184
"Patagonia, Inc.",1.5774222222222223,0.4225238095238095,0.9508908238446082,0.6713493064312737,1.4243414812112367,0.6611069717935072,1.0963989408649604,0.6885920177383592
Pactera,0.0,1.2675714285714286,1.2282339807992855,1.2308070617906683,2.1365122218168553,1.1333262373602981,1.331341571050309,1.3771840354767184
NASA Jet Propulsion Laboratory,0.0,1.9717777777777779,0.7924090198705068,0.7832408575031525,1.8127982488143013,1.5111016498137306,0.7831421006178287,1.9674057649667405
"Excellus Health Plan, Inc.",0.0,0.7042063492063492,0.9112703728510828,0.22378310214375788,0.84165632980664,0.28333155934007453,1.253027360988526,1.0820731707317073
"Akamai Technologies, Inc.",0.0,0.9858888888888889,0.7527885688769814,0.7832408575031525,0.9711419190076614,1.2277700904736562,1.4096557811120918,0.3934811529933481
"Delta Air Lines, Inc.",0.7887111111111111,0.2816825396825397,0.35658405894172807,1.4545901639344263,0.5826851514045969,0.09444385311335816,0.5481994704324802,0.4918514412416851
"Concur Technologies, Inc. ",0.0,1.2675714285714286,1.862161196695691,0.0,1.0358847136081721,1.699989356040447,1.879541041482789,1.2788137472283814
"Red Hat, Inc.",2.3661333333333334,0.7042063492063492,1.5848180397410137,0.22378310214375788,0.9711419190076614,0.7555508249068653,1.331341571050309,0.9837028824833702
Netskope Inc.,0.0,1.2675714285714286,1.7036793927215896,0.7832408575031525,0.5179423568040861,3.1166471527408195,0.626513680494263,1.0820731707317073
The AES Corporation,1.5774222222222223,0.845047619047619,0.9508908238446082,1.3426986128625473,0.32371397300255383,0.37777541245343266,1.1747131509267432,0.2951108647450111
Cloud BigData Technologies Group,0.0,0.2816825396825397,0.8320294708640321,0.33567465321563683,0.3884567676030646,0.18888770622671633,0.23494263018534864,0.6885920177383592
The University of Texas at Austin,0.0,0.2816825396825397,0.3962045099352534,1.2308070617906683,2.0070266326158337,0.9444385311335817,0.23494263018534864,0.19674057649667406
AppFolio,1.5774222222222223,1.8309365079365079,1.4263362357669123,0.8951324085750315,2.0070266326158337,1.03888238424694,1.5662842012356575,0.9837028824833702
National Aeronautics and Space Administration,0.0,1.9717777777777779,0.3962045099352534,0.44756620428751576,0.9063991244071506,0.5666631186801491,0.39157105030891437,1.2788137472283814
Johns Hopkins University Applied Physics Laboratory,0.7887111111111111,1.1267301587301588,1.030131725831659,1.0070239596469104,0.9063991244071506,1.2277700904736562,1.5662842012356575,2.0657760532150777
