gvkey,iid,datadate,tic,conm,cshoc,prccd
066311,01,12/31/2010,DIA,SPDR DJIA ETF TRUST,73990000.0000,115.6300
066311,01,01/03/2011,DIA,SPDR DJIA ETF TRUST,73990000.0000,116.4100
066311,01,01/04/2011,DIA,SPDR DJIA ETF TRUST,75490000.0000,116.6400
066311,01,01/05/2011,DIA,SPDR DJIA ETF TRUST,75240000.0000,117.0400
066311,01,01/06/2011,DIA,SPDR DJIA ETF TRUST,73140000.0000,116.7800
066311,01,01/07/2011,DIA,SPDR DJIA ETF TRUST,73140000.0000,116.5700
066311,01,01/10/2011,DIA,SPDR DJIA ETF TRUST,73140000.0000,116.2000
066311,01,01/11/2011,DIA,SPDR DJIA ETF TRUST,73140000.0000,116.5500
066311,01,01/12/2011,DIA,SPDR DJIA ETF TRUST,73140000.0000,117.4000
066311,01,01/13/2011,DIA,SPDR DJIA ETF TRUST,78290000.0000,117.2000
066311,01,01/14/2011,DIA,SPDR DJIA ETF TRUST,77240000.0000,117.6900
066311,01,01/18/2011,DIA,SPDR DJIA ETF TRUST,77240000.0000,118.2300
066311,01,01/19/2011,DIA,SPDR DJIA ETF TRUST,77690000.0000,118.1580
066311,01,01/20/2011,DIA,SPDR DJIA ETF TRUST,75240000.0000,118.1200
066311,01,01/21/2011,DIA,SPDR DJIA ETF TRUST,76640000.0000,118.4600
066311,01,01/24/2011,DIA,SPDR DJIA ETF TRUST,76640000.0000,119.5600
066311,01,01/25/2011,DIA,SPDR DJIA ETF TRUST,76640000.0000,119.4900
066311,01,01/26/2011,DIA,SPDR DJIA ETF TRUST,78740000.0000,119.6100
066311,01,01/27/2011,DIA,SPDR DJIA ETF TRUST,82690000.0000,119.6400
066311,01,01/28/2011,DIA,SPDR DJIA ETF TRUST,82240000.0000,118.0200
066311,01,01/31/2011,DIA,SPDR DJIA ETF TRUST,82240000.0000,118.6000
066311,01,02/01/2011,DIA,SPDR DJIA ETF TRUST,84740000.0000,120.0900
066311,01,02/02/2011,DIA,SPDR DJIA ETF TRUST,84740000.0000,120.1000
066311,01,02/03/2011,DIA,SPDR DJIA ETF TRUST,83540000.0000,120.3700
066311,01,02/04/2011,DIA,SPDR DJIA ETF TRUST,82490000.0000,120.6900
066311,01,02/07/2011,DIA,SPDR DJIA ETF TRUST,81890000.0000,121.3500
066311,01,02/08/2011,DIA,SPDR DJIA ETF TRUST,81640000.0000,122.1400
066311,01,02/09/2011,DIA,SPDR DJIA ETF TRUST,81140000.0000,122.2800
066311,01,02/10/2011,DIA,SPDR DJIA ETF TRUST,79590000.0000,122.1700
066311,01,02/11/2011,DIA,SPDR DJIA ETF TRUST,79590000.0000,122.6500
066311,01,02/14/2011,DIA,SPDR DJIA ETF TRUST,79390000.0000,122.6100
066311,01,02/15/2011,DIA,SPDR DJIA ETF TRUST,80190000.0000,122.2000
066311,01,02/16/2011,DIA,SPDR DJIA ETF TRUST,80340000.0000,122.8800
066311,01,02/17/2011,DIA,SPDR DJIA ETF TRUST,80340000.0000,123.1600
066311,01,02/18/2011,DIA,SPDR DJIA ETF TRUST,81040000.0000,123.6000
066311,01,02/22/2011,DIA,SPDR DJIA ETF TRUST,81040000.0000,121.8900
066311,01,02/23/2011,DIA,SPDR DJIA ETF TRUST,81040000.0000,120.8500
066311,01,02/24/2011,DIA,SPDR DJIA ETF TRUST,79990000.0000,120.4200
066311,01,02/25/2011,DIA,SPDR DJIA ETF TRUST,79990000.0000,121.1400
066311,01,02/28/2011,DIA,SPDR DJIA ETF TRUST,81240000.0000,122.1500
066311,01,03/01/2011,DIA,SPDR DJIA ETF TRUST,81240000.0000,120.3700
066311,01,03/02/2011,DIA,SPDR DJIA ETF TRUST,80940000.0000,120.4500
066311,01,03/03/2011,DIA,SPDR DJIA ETF TRUST,81990000.0000,122.3600
066311,01,03/04/2011,DIA,SPDR DJIA ETF TRUST,80440000.0000,121.4710
066311,01,03/07/2011,DIA,SPDR DJIA ETF TRUST,80440000.0000,120.7100
066311,01,03/08/2011,DIA,SPDR DJIA ETF TRUST,80440000.0000,121.9900
066311,01,03/09/2011,DIA,SPDR DJIA ETF TRUST,80140000.0000,122.0100
066311,01,03/10/2011,DIA,SPDR DJIA ETF TRUST,80140000.0000,119.7300
066311,01,03/11/2011,DIA,SPDR DJIA ETF TRUST,79440000.0000,120.4200
066311,01,03/14/2011,DIA,SPDR DJIA ETF TRUST,76440000.0000,119.8500
066311,01,03/15/2011,DIA,SPDR DJIA ETF TRUST,76440000.0000,118.4300
066311,01,03/16/2011,DIA,SPDR DJIA ETF TRUST,76090000.0000,116.1600
