gvkey,iid,datadate,tic,conm,cshoc,prccd
108132,01,12/31/2010,SPY,SPDR S&P 500 ETF TRUST,723380000.0000,125.7500
108132,01,01/03/2011,SPY,SPDR S&P 500 ETF TRUST,715030000.0000,127.0500
108132,01,01/04/2011,SPY,SPDR S&P 500 ETF TRUST,715030000.0000,126.9800
108132,01,01/05/2011,SPY,SPDR S&P 500 ETF TRUST,723930000.0000,127.6400
108132,01,01/06/2011,SPY,SPDR S&P 500 ETF TRUST,743630000.0000,127.3900
108132,01,01/07/2011,SPY,SPDR S&P 500 ETF TRUST,743630000.0000,127.1400
108132,01,01/10/2011,SPY,SPDR S&P 500 ETF TRUST,743630000.0000,126.9800
108132,01,01/11/2011,SPY,SPDR S&P 500 ETF TRUST,743630000.0000,127.4300
108132,01,01/12/2011,SPY,SPDR S&P 500 ETF TRUST,743630000.0000,128.5800
108132,01,01/13/2011,SPY,SPDR S&P 500 ETF TRUST,733280000.0000,128.3675
108132,01,01/14/2011,SPY,SPDR S&P 500 ETF TRUST,747480000.0000,129.3000
108132,01,01/18/2011,SPY,SPDR S&P 500 ETF TRUST,747480000.0000,129.5200
108132,01,01/19/2011,SPY,SPDR S&P 500 ETF TRUST,740980000.0000,128.2500
108132,01,01/20/2011,SPY,SPDR S&P 500 ETF TRUST,744830000.0000,128.0800
108132,01,01/21/2011,SPY,SPDR S&P 500 ETF TRUST,742480000.0000,128.3700
108132,01,01/24/2011,SPY,SPDR S&P 500 ETF TRUST,742480000.0000,129.1000
108132,01,01/25/2011,SPY,SPDR S&P 500 ETF TRUST,754730000.0000,129.1700
108132,01,01/26/2011,SPY,SPDR S&P 500 ETF TRUST,744230000.0000,129.6700
108132,01,01/27/2011,SPY,SPDR S&P 500 ETF TRUST,744230000.0000,129.9900
108132,01,01/28/2011,SPY,SPDR S&P 500 ETF TRUST,743530000.0000,127.7200
108132,01,01/31/2011,SPY,SPDR S&P 500 ETF TRUST,743530000.0000,128.6800
108132,01,02/01/2011,SPY,SPDR S&P 500 ETF TRUST,726580000.0000,130.7400
